"threshold","T2T_loci","T2T_percent","hg38_loci","hg38_percent","fold_change"
"Total annotated",2456630,100,2117172,100,1.16033557972616
"≥1 cell",2456630,100,2117172,100,1.16033557972616
"≥3 cells",1526622,62.1429356476148,1316923,62.201984534086,1.15923406303937
"≥5 cells",1149137,46.7769668204003,991807,46.8458396389146,1.15862965274494
"≥10 cells",718246,29.2370442435369,620473,29.3066883559767,1.15757817020241
"≥20 cells",399269,16.2527120486195,345426,16.3154434311431,1.1558741959204
"≥10 counts",741430,30.1807761038496,640479,30.2516281152405,1.15761797030035
"≥50 counts",160411,6.52971753988187,139361,6.58241276570822,1.15104656252467
"≥100 counts",62134,2.52923720706822,54226,2.56124679525329,1.14583410172242
"≥5 cells AND ≥10 counts",740771,30.1539507373923,639954,30.2268308857287,1.15753788553552
"≥10 cells AND ≥50 counts",160255,6.52336737726072,139240,6.57669759471597,1.15092645791439
